Autoras,Año de nacimiento,Lugar de nacimiento,Premio recibido,Primera publicación,Número de publicaciones,Editorial
Abbud Yolanda,0,Chihuahua,1,0,1,Tintanueva
Abenshushan Vivian,1972,Ciudad de México,0,2004,1,Tustquets
Acosta Alicia,1929,Chihuahua,0,2001,1,0
Aguilar Elvira,1964,Quintana Roo,0,1977,4,"Ayuntamiento de Quitana Roo, Suave Patria, Ficticia "
Aguilar Zéleny Sylvia,1973,Sonora,2,1999,4,"La voz de Sonora, Nitro, Instituto Sonorense de Cultura"
Aguirre González Elsa,1988,Chihuahua,1,2022,0,Anverso
Alba Pilar,1974,Zacatecas,0,2002,1,Instituto Zacatecano de la Ramón López Velarde
Alcocer Paula,1920,Guanajuato,0,2000,1,Secretaría de Cultura de Jalisco
Almazán de Pérez Barrera María Helena,0,0,0,1940,2,"Universidad de Guadalajara, Costa-Amic"
Alonso Odette,1964,Cuba,0,2006,2,"Universidad Veracruzana, Odisea"
Álvarez Griselda,1966,Jalisco,0,1966,1,Finisterre
Alvear Galindo Marcela,1963,0,0,1999,1,Universidad Autónoma Metropolitana
Amador Diana,0,0,0,2002,1,Praxis
Amor Guadalupe,1917,Ciudad de México,0,1959,1,Fondo de Cultura Económica
Ancira Lola,1987,Querétaro,1,2013,4,"Tierra Adentro, Paraiso Pérdido, Secretaría de Cultura del Estado de México"
Ángel Varinia del,1972,Ciudad de México,0,2000,1,"Mixcóatl, Endora"
Ángeles Alejandra,1988,Querétaro,0,2021,1,Fondo Blanco
Ángeles Guadalupe,1962,Hidalgo,0,1993,4,"Tierra Adentro, Mala Estrella, Consejo Estatal para la Cultura de Jalisco, Unidad editorial del Gobierno de Jalisco"
Anhalt Nedda G. de,1934,Cuba,0,1984,4,"Oásis, Incaro"
Apodaca Karel,1978,Sinaloa,0,2018,1,Instituto Sinaloense de Cultura
Arévalo Julieta,0,Ciudad de México,0,2013,1,Casa Editorial Abismos
Arévalo Osorio Marta,1930,Chiapas,0,1994,1,Universidad Autónoma de Chiapas
Argudín Yolanda,1945,Ciudad de México,0,1964,5,"La Gárgola, Federación Editorial Mexicana, Oásis"
Argueta González Selene,1985,Chiapas,0,2019,1,Ala Ediciones
Arias Olga,1923,Estado de México,0,1967,2,Comunicación Literaria de Autores
Arjona Arminé,1958,Chihuahua,0,2005,1,Al límite Editores
Armendariz Emma Teresa,1928,Ciudad de México,0,1980,1,Compañía General de Ediciones
Armengol Nuria,1955,San Luis Potosí,1,1991,1,Tierra Adentro
Armijo Daniela,1985,Samora,0,2022,1,Interior 403
Arredondo Inés,1928,Sinaloa,1,1965,4,"Era, Oásis, Joaquínb Mortiz"
Atala Alejandra,1966,Morelos,0,1997,1,Vid
Aun Crista,1971,Sinaloa,2,2018,2,Instituto Sinaloense de Cultura
Aveleyra-Sadowska Teresa,1920,Ciudad de México,0,1963,2,"Joaquín Mortiz, Costa-Amic"
Ávila Carmen,1981,Coahuila,2,2006,3,Instituto Coahuilense de Cultura
Avitia Ponce de León Susana,0,Chihuahua,1,1995,3,Universidad Autónoma de Chihuaha
Azcárate Leonor,1955,Ciudad de México,0,1982,1,La Máquina de Escribir
Azpíroz María Elena,1957,Ciudad de México,0,1981,2,"Oásis, Práctica de Vuelo"
Azuara Forcelledo Guadalupe,1962,San Luis Potosí,0,1996,1,Fondo Estatal para la Cultura y las Artes de Tabasco
Azuela María de los Dolores,0,0,0,1962,1,
Báez Carmen,1909,Michoacán,1,1957,1,Fondo de Cultura Económica
Baeza Laura,1988,Campeche,3,2012,4,"Simiente, Tierra Adentro, Paraíso Perdido, Páginas de Espuma"
Balestra Aguilar Bertha,1955,Ciudad de México,0,1996,1,Ayuntamiento de Metepec
Bali Rowena,1977,Morelos,0,2012,2,"Axial, Posdata"
Ballesteros Gabriela,1977,Ciudad de México,0,2011,3,Ediciones de Autor
Banda Farfán Raquel,1928,San Luis Potosí,0,1953,7,"Comaval, Andrea, Diana, Costa-Amic"
Barahona Rosaura,1942,Ciudad de México,0,1994,1,Castillo
Barajas Ramos Karla Gabriela,1982,Chiapas,0,2017,5,"La Tinta del Silencio, Surdavoz, BGR"
Barrera Reyna,1939,Ciudad de México,0,2017,1,Voces enTinta
Barrera Morales Laura,1987,Guanajuato,0,2020,1,"Secretaría de Gobierno del Estado de México, Instituto Estatal de la Cultura de Guanajuato"
Basich Ninah,1954,Jalisco,2,2008,3,"Instituto Sonorense de Cultura, Secretaría de Gobierno del Estado de México, Centro Toluqueño de Escritores, Benemérita Universidad Autónoma de Puebla"
Bátiz Zuk Martha Beatriz,1971,Ciudad de México,0,2000,4,"Castillo, Ariadna, Terranova, Exile"
Bautista Tayde,1971,Ciudad de México,1,2010,1,"Ficticia, Gobierno Municipal de Boca del Río"
Beltrán Rosa,1960,Ciudad de México,0,1986,3,"Secretaría de Educación Pública, Crea, Joaquín Mortiz, Aldos"
Beltrán Lechuga Rosa Emma,1957,Chihuahua,0,2019,1,Laripse
Bennets Esthela,0,Oaxaca,0,1993,2,"Cantera Verde, La Casa de la Cultura Oaxaqueña"
Bergua Grasa María Rosa,1923,España,0,2016,1,
Bermeo Laura G.,,Coahuila,0,1984,3,
Bermúdez María Elvira,1912,Durango,0,1951,6,"Federación Editorial Mexicana, Universidad Autónoma Metropolitana, Oásis, Universidad Veracruzana"
Bernal Alejandra,1972,Ciudad de México,1,2003,1,Tusquets
Bespalova Marina,1970,Rusia,0,1994,3,"Tierra Adentro, La Tinta de Alcatraz, Universidad Autónoma del Estado de México"
Best de Enciso Emma,0,,0,1938,2,"La Moderna, Cvltvra"
Beutelspacher Ethel,1939,Oaxaca,0,2002,3,"Universidad Autónoma de Chiapas, CONACULTA del Estado de Chiapas"
Blum Liliana,1974,Durango,2,2002,7,"Tierra Adentro, Jus, Voces de Barlovento, Páginas de Espuma, Instituto Tamaulipeco para la Cultura y las Artes"
Bojórquez Vertiz Daniela,1979,Ciudad de México,0,2006,3,"Ficticia, Instituto Mexiquense de Cultura, Tumbona Ediciones"
Bolio Cantarell de Peón Dolores,1880,Yucatán,0,1917,2,"Newman Brothers, Imprenta Mexicana"
Boullosa Carmen,1954,Ciudad de México,0,2007,1,Sexto Piso
Bowman Rebecca,1960,Estados Unidos,2,1990,7,Universidad Autónoma de Tamaulipas
Bravo Aydeé,1980,Puebla,0,2013,1,El Under Ediciones
Brozon Mónica,1970,Ciudad de México,0,1999,1,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado
Buendía Maritza M.,1974,Zacatecas,2,2002,3,"Tierra Adentro, Textofilia"
Cabrales Ada,1977,Jalisco,0,2019,1,Atipical
Cabrera Fidela,0,0,0,1985,1,Oásis
Cabrera Yesenia,1996,Tlaxcala,1,2020,1,Paraíso Perdido
Cabrera Espinosa Claudia,1984,Ciudad de México,1,2019,2,"Universidad de Guadalajara, Eolas Ediciones"
Cáceres Laura Elena,1985,Tamauilitas,0,2011,2,0
Calleja Stephens Irma Leticia,0,Ciudada de México,0,2009,1,Centro Toluqueño de Escritores
Camacho Bibiana,1974,Ciudada de México,0,2010,3,"Jus, Almadía"
Camarillo y Roa de Pereyra María Enriqueta,1872,Vera Cruz,0,1921,4,"Biblioteca Nueva, Espasa-Calpe"
Campos Julieta,1932,Cuba,0,1968,1,Siglo XXI
Campos Sánchez Montserrath,1984,Guanajuato,0,2016,1,Ficticia
Camposeco Alejandra,0,Ciudad de México,0,1999,1,Tierra Adentro
Canales Lorea,1970,Ciudad de México,0,2019,1,Dharma Books
Candia Adriana,0,Chihuahua,0,2013,3,New Mexico State University
Cano Gordón Carmen,1940,Ciudad de México,0,1995,2,Edición de Autor
Caraza Xánath,0,0,1,2013,1,Mouthfeel Press
Carbajal Legarreta Alicia,0,0,0,1995,2,Mixcóatl
Cárdenas Erma,1945,Estados Unidos,0,1997,2,"Ex Libris, Textofilia"
Cárdenas Guadalupe,1932,Ciudad de México,0,1987,1,Instituto Mexiquense de Cultura
Careaga Delfina,1937,Ciudad de México,0,1975,3,"Samo, Gobierno del Estado de México, Fondo Editorial del Estado de México"
Carlos Elisa,1941,San Luis Potosí,0,1992,3,"Editorial Universitaria Potosina, Universidad Autónoma de San Luis Potosí, Ponciano Arriaga"
Carnés Luisa,1905,España,0,2017,1,Hoja de Lata Editorial
Carranza Juárez Charlotte,1961,Ciudad de México,1,2016,1,Alebrijez
Carrejo Aguirre Juana María,1918,Coahuila,0,1958,1,Asociación de Escritores y Periodistas de Saltillo
Carrillo Viridiana,0,Sonora,0,2020,2,Narrativa Punto Aparte
Carrillo Enid,1997,Hidalgo,1,2019,1,Gobierno del Estado de Hidalgo
Carrillo Collard Patricia,1972,Sinaloa,1,2018,2,"Ficticia, Textofilia"
Carrillo Gamboa Guadalupe,0,0,0,1983,1,Martín Casillas Editores
Casparius María,1943,Ciudad de México,0,1968,4,Talleres Gráfica de Occidente
Castañeda Suarí Judith,1975,Ciudad de México,4,2006,5,Instituto Cultural de Aguascalientes
Castellanos Rosario,1925,Ciudad de México,0,1960,3,"Universidad Veracruzana, Joaquín Mortiz, Era"
Castellanos Rosales Jade,,,,,,
Castillejos Silvia,,,,,,
Castillo Ana,,,,,,
Castillo Gil Evelina María,,,,,,
Castorena Nithia,,,,,,
Castro Gará,,,,,,
Castro Raquel,,,,,,
Castro Padilla Carolina,,,,,,
Ceh Moo Sol,,,,,,
Cendejas Josefina María,,,,,,
Ceniceros Fuertes Josefina,,,,,,
Cerda Dahlia de la,,,,,,
Cerda Martha,,,,,,
Cerecero María Elena,,,,,,
Cerón López Rosa Guadalupe,,,,,,
Cervantes Corte Ivonne,,,,,,
Chacek Karen,,,,,,
Chacón Rosana,,,,,,
Chacón Flora Isela,,,,,,
Cháirez Yuvia H.,,,,,,
Chapela Andrea,,,,,,
Chavelas López Astrid Paola,,,,,,
Chávez Arroyo Yolanda,,,,,,
Chávez Cano Marisol,,,,,,
Chavira Arelí,,,,,,
Ciria Andrea,,,,,,
Claro Canteros Angélica,,,,,,
Clavel Ana,,,,,,
Colín Maira,,,,,,
Colón Cecilia,,,,,,
Concha Cristina de la,,,,,,
Conde Gabriela,,,,,,
Conde Rosina,,,,,,
Contreras Nadia,,,,,,
Corcuera Susana,,,,,,
Córdova Aura Penélope,,,,,,
Correa Elma,,,,,,
Cristo Josefina,,,,,,
Crócker Martha,,,,,,
Cruz Atenea,,,,,,
Cruz Nora de la,,,,,,
Cuéllar Norma Yamille,,,,,,
Cuesy Silvia L.,,,,,,
Cuevas Dana,,,,,,
Cuevas Peña Guillermina,,,,,,
D'Arbel Gabriela,,,,,,
D'Santos Marisa,,,,,,
Dalmacia Cecilia,,,,,,
Dalton Margarita,,,,,,
Dávalos Pardo Irma,,,,,,
Dávila Celina,,,,,,
Dávila Amparo,,,,,,
Davis Estela,,,,,,
Deblock Lucía,,,,,,
del Río Virginia,,,,,,
Delgado Diana,,,,,,
Dey Teresa,,,,,,
Díaz Ilse,,,,,,
Díaz de León Martha,,,,,,
Díaz Enciso Adriana,,,,,,
Díaz Rivera Dolores,,,,,,
Díaz-Ortiz Alejandra,,,,,,
Dobarro Ainda,,,,,,
Dolujanoff Emma,,,,,,
Domecq Brianda,,,,,,
Domingo Claudina,,,,,,
Domínguez Mendoza Amelia,,,,,,
Dorantes Adriana,,,,,,
Dornbierer Manou,,,,,,
Guadalupe Dueñas,,,,,,
Elizondo Hortensia,,,,,,
Emilia Nora,,,,,,
Enríquez María,,,,,,
Enríquez Victoria,,,,,,
Eos Gabriela,,,,,,
Erreguerena María Luisa,,,,,,
Escalante Beatriz,,,,,,
España Graciela,,,,,,
España Macaria,,,,,,
Espejo Beatriz,,,,,,
Espinasa Yllades Tatiana,,,,,,
Espinosa Martha Aurora,,,,,,
Espinosa Martha,,,,,,
Espinoza Maricruz,,,,,,
Espinoza Rosa,,,,,,
Espriella Carmen Leticia,,,,,,
Estrada Josefina,,,,,,
Estrada Castañeda María Socorro,,,,,,
Eudave Cecilia,,,,,,
Favier Chantal,,,,,,
Fernández Alma Rosa,,,,,,
Fernández Adela,,,,,,
Fernández Castillón Amalia,,,,,,
Ferrer Citlali,,,,,,
Ferreyra Diana,,,,,,
Fierro Merari,,,,,,
Finol Zita,,,,,,
Fiscal María Rosa,,,,,,
Flores Malva,,,,,,
Flores Elizabeth,,,,,,
Flores Hilerio Dalina,,,,,,
Fonseca Gabriela,,,,,,
Fontanilles de Rueda Pilar,,,,,,
Francis Susana,,,,,,
Franco Azucena,,,,,,
Frenk-Westheim Mariana,,,,,,
Fresnillo Olga,,,,,,
Fuente Montes de Oca Ana,,,,,,
Fuentes Alejandra,,,,,,
Fuentes Carmen,,,,,,
Fuentesberain Úrsula,,,,,,
Gaitán Cortés María Guadalupe,,,,,,
Galaviz Betty,,,,,,
Galeana Benita,,,,,,
Gallardo Borges Nelly,,,,,,
Galván Trejo Lucy,,,,,,
Gámez Marisol,,,,,,
Gámez Romero Claudia,,,,,,
Gamiño Carmen,,,,,,
Gantús Fausta,,,,,,
García Clara Guadalupe,,,,,,
García María Victoria,,,,,,
García Esther M.,,,,,,
García Iris,,,,,,
García Bergua Ana,,,,,,
García Delgado Elpidia,,,,,,
García González Julieta,,,,,,
García Jolly Victoria,,,,,,
García Luna Mariana,,,,,,
García Rey Rocío,,,,,,
García Rodríguez Verónica,,,,,,
García Salinas María Fernanda,,,,,,
García Vázquez Jazmín,,,,,,
García Villarreal Alicia,,,,,,
Gargallo Francesca,,,,,,
Garibay Rubio Lourdes,,,,,,
Garma Estrella Ileana de Jesús,,,,,,
Garro Elena,,,,,,
Garza Quesada Lourdes,,,,,,
Gaxiola Patricia,,,,,,
Gerson Sara,,,,,,
